bt_date_bt_time,Date,Time,uid,In Kitchen,,
28-03-19 15:00:00:000000,28-03-19,15:00:00:000000,kitchen,0,,
28-03-19 15:00:40:000000,28-03-19,15:00:40:000000,kitchen,0,,
28-03-19 15:01:20:000000,28-03-19,15:01:20:000000,kitchen,0,,
28-03-19 15:02:00:000000,28-03-19,15:02:00:000000,kitchen,0,,
28-03-19 15:02:40:000000,28-03-19,15:02:40:000000,kitchen,0,,
28-03-19 15:03:20:000000,28-03-19,15:03:20:000000,kitchen,0,,
28-03-19 15:04:00:000000,28-03-19,15:04:00:000000,kitchen,0,,
28-03-19 15:04:40:000000,28-03-19,15:04:40:000000,kitchen,0,,
28-03-19 15:05:20:000000,28-03-19,15:05:20:000000,kitchen,0,,
28-03-19 15:06:00:000000,28-03-19,15:06:00:000000,kitchen,0,,
28-03-19 15:06:40:000000,28-03-19,15:06:40:000000,kitchen,0,,
28-03-19 15:07:20:000000,28-03-19,15:07:20:000000,kitchen,0,,
28-03-19 15:08:00:000000,28-03-19,15:08:00:000000,kitchen,0,,
28-03-19 15:08:40:000000,28-03-19,15:08:40:000000,kitchen,0,,
28-03-19 15:09:20:000000,28-03-19,15:09:20:000000,kitchen,0,,
28-03-19 15:10:00:000000,28-03-19,15:10:00:000000,kitchen,0,,
28-03-19 15:10:40:000000,28-03-19,15:10:40:000000,kitchen,0,,
28-03-19 15:11:20:000000,28-03-19,15:11:20:000000,kitchen,0,,
28-03-19 15:12:00:000000,28-03-19,15:12:00:000000,kitchen,0,,
28-03-19 15:12:40:000000,28-03-19,15:12:40:000000,kitchen,0,,
28-03-19 15:13:20:000000,28-03-19,15:13:20:000000,kitchen,0,,
28-03-19 15:14:00:000000,28-03-19,15:14:00:000000,kitchen,0,,
28-03-19 15:14:40:000000,28-03-19,15:14:40:000000,kitchen,0,,
28-03-19 15:15:20:000000,28-03-19,15:15:20:000000,kitchen,0,,
28-03-19 15:16:00:000000,28-03-19,15:16:00:000000,kitchen,0,,
28-03-19 15:16:40:000000,28-03-19,15:16:40:000000,kitchen,0,,
28-03-19 15:17:20:000000,28-03-19,15:17:20:000000,kitchen,0,,
28-03-19 15:18:00:000000,28-03-19,15:18:00:000000,kitchen,0,,
28-03-19 15:18:40:000000,28-03-19,15:18:40:000000,kitchen,0,,
28-03-19 15:19:20:000000,28-03-19,15:19:20:000000,kitchen,0,,
28-03-19 15:20:00:000000,28-03-19,15:20:00:000000,kitchen,0,,
28-03-19 15:20:40:000000,28-03-19,15:20:40:000000,kitchen,0,,
28-03-19 15:21:20:000000,28-03-19,15:21:20:000000,kitchen,0,,
28-03-19 15:22:00:000000,28-03-19,15:22:00:000000,kitchen,0,,
28-03-19 15:22:40:000000,28-03-19,15:22:40:000000,kitchen,0,,
28-03-19 15:23:20:000000,28-03-19,15:23:20:000000,kitchen,0,,
28-03-19 15:24:00:000000,28-03-19,15:24:00:000000,kitchen,0,,
28-03-19 15:24:40:000000,28-03-19,15:24:40:000000,kitchen,0,,
28-03-19 15:25:20:000000,28-03-19,15:25:20:000000,kitchen,0,,
28-03-19 15:26:00:000000,28-03-19,15:26:00:000000,kitchen,0,,
28-03-19 15:26:40:000000,28-03-19,15:26:40:000000,kitchen,0,,
28-03-19 15:27:20:000000,28-03-19,15:27:20:000000,kitchen,0,,
28-03-19 15:28:00:000000,28-03-19,15:28:00:000000,kitchen,0,,
28-03-19 15:28:40:000000,28-03-19,15:28:40:000000,kitchen,0,,
28-03-19 15:29:20:000000,28-03-19,15:29:20:000000,kitchen,0,,
28-03-19 15:30:00:000000,28-03-19,15:30:00:000000,kitchen,0,,
28-03-19 15:30:40:000000,28-03-19,15:30:40:000000,kitchen,0,,
28-03-19 15:31:20:000000,28-03-19,15:31:20:000000,kitchen,0,,
28-03-19 15:32:00:000000,28-03-19,15:32:00:000000,kitchen,0,,
28-03-19 15:32:40:000000,28-03-19,15:32:40:000000,kitchen,0,,
28-03-19 15:33:20:000000,28-03-19,15:33:20:000000,kitchen,0,,
28-03-19 15:34:00:000000,28-03-19,15:34:00:000000,kitchen,0,,
28-03-19 15:34:40:000000,28-03-19,15:34:40:000000,kitchen,0,,
28-03-19 15:35:20:000000,28-03-19,15:35:20:000000,kitchen,0,,
28-03-19 15:36:00:000000,28-03-19,15:36:00:000000,kitchen,0,,
28-03-19 15:36:40:000000,28-03-19,15:36:40:000000,kitchen,0,,
28-03-19 15:37:20:000000,28-03-19,15:37:20:000000,kitchen,0,,
28-03-19 15:38:00:000000,28-03-19,15:38:00:000000,kitchen,0,,
28-03-19 15:38:40:000000,28-03-19,15:38:40:000000,kitchen,0,,
28-03-19 15:39:20:000000,28-03-19,15:39:20:000000,kitchen,0,,
28-03-19 15:40:00:000000,28-03-19,15:40:00:000000,kitchen,0,,
28-03-19 15:40:40:000000,28-03-19,15:40:40:000000,kitchen,0,,
28-03-19 15:41:20:000000,28-03-19,15:41:20:000000,kitchen,0,,
28-03-19 15:42:00:000000,28-03-19,15:42:00:000000,kitchen,0,,
28-03-19 15:42:40:000000,28-03-19,15:42:40:000000,kitchen,0,,
28-03-19 15:43:20:000000,28-03-19,15:43:20:000000,kitchen,0,,
28-03-19 15:44:00:000000,28-03-19,15:44:00:000000,kitchen,0,,
28-03-19 15:44:40:000000,28-03-19,15:44:40:000000,kitchen,0,,
28-03-19 15:45:20:000000,28-03-19,15:45:20:000000,kitchen,0,,
28-03-19 15:46:00:000000,28-03-19,15:46:00:000000,kitchen,0,,
28-03-19 15:46:40:000000,28-03-19,15:46:40:000000,kitchen,0,,
28-03-19 15:47:20:000000,28-03-19,15:47:20:000000,kitchen,0,,
28-03-19 15:48:00:000000,28-03-19,15:48:00:000000,kitchen,0,,
28-03-19 15:48:40:000000,28-03-19,15:48:40:000000,kitchen,0,,
28-03-19 15:49:20:000000,28-03-19,15:49:20:000000,kitchen,0,,
28-03-19 15:50:00:000000,28-03-19,15:50:00:000000,kitchen,0,,
28-03-19 15:50:40:000000,28-03-19,15:50:40:000000,kitchen,0,,
28-03-19 15:51:20:000000,28-03-19,15:51:20:000000,kitchen,0,,
28-03-19 15:52:00:000000,28-03-19,15:52:00:000000,kitchen,0,,
28-03-19 15:52:40:000000,28-03-19,15:52:40:000000,kitchen,0,,
28-03-19 15:53:20:000000,28-03-19,15:53:20:000000,kitchen,0,,
28-03-19 15:54:00:000000,28-03-19,15:54:00:000000,kitchen,0,,
28-03-19 15:54:40:000000,28-03-19,15:54:40:000000,kitchen,0,,
28-03-19 15:55:20:000000,28-03-19,15:55:20:000000,kitchen,0,,
28-03-19 15:56:00:000000,28-03-19,15:56:00:000000,kitchen,0,,
28-03-19 15:56:40:000000,28-03-19,15:56:40:000000,kitchen,0,,
28-03-19 15:57:20:000000,28-03-19,15:57:20:000000,kitchen,0,,
28-03-19 15:58:00:000000,28-03-19,15:58:00:000000,kitchen,0,,
28-03-19 15:58:40:000000,28-03-19,15:58:40:000000,kitchen,0,,
28-03-19 15:59:20:000000,28-03-19,15:59:20:000000,kitchen,0,,
28-03-19 16:00:00:000000,28-03-19,16:00:00:000000,kitchen,0,,
28-03-19 16:00:40:000000,28-03-19,16:00:40:000000,kitchen,0,,
28-03-19 16:01:20:000000,28-03-19,16:01:20:000000,kitchen,0,,
28-03-19 16:02:00:000000,28-03-19,16:02:00:000000,kitchen,0,,
28-03-19 16:02:40:000000,28-03-19,16:02:40:000000,kitchen,0,,
28-03-19 16:03:20:000000,28-03-19,16:03:20:000000,kitchen,0,,
28-03-19 16:04:00:000000,28-03-19,16:04:00:000000,kitchen,0,,
28-03-19 16:04:40:000000,28-03-19,16:04:40:000000,kitchen,0,,
28-03-19 16:05:20:000000,28-03-19,16:05:20:000000,kitchen,0,,
28-03-19 16:06:00:000000,28-03-19,16:06:00:000000,kitchen,0,,
28-03-19 16:06:40:000000,28-03-19,16:06:40:000000,kitchen,0,,
28-03-19 16:07:20:000000,28-03-19,16:07:20:000000,kitchen,0,,
28-03-19 16:08:00:000000,28-03-19,16:08:00:000000,kitchen,0,,
28-03-19 16:08:40:000000,28-03-19,16:08:40:000000,kitchen,0,,
28-03-19 16:09:20:000000,28-03-19,16:09:20:000000,kitchen,0,,
28-03-19 16:10:00:000000,28-03-19,16:10:00:000000,kitchen,0,,
28-03-19 16:10:40:000000,28-03-19,16:10:40:000000,kitchen,0,,
28-03-19 16:11:20:000000,28-03-19,16:11:20:000000,kitchen,0,,
28-03-19 16:12:00:000000,28-03-19,16:12:00:000000,kitchen,0,,
28-03-19 16:12:40:000000,28-03-19,16:12:40:000000,kitchen,0,,
