bt_date_bt_time,Date,Time,ELEC,Kettle In Use
2019-03-28 15:00:00,28-03-2019,15:00:00:000000,0.0,0
2019-03-28 15:00:40,28-03-2019,15:00:40:000000,0.0,0
2019-03-28 15:01:20,28-03-2019,15:01:20:000000,0.0,0
2019-03-28 15:02:00,28-03-2019,15:02:00:000000,0.0,0
2019-03-28 15:02:40,28-03-2019,15:02:40:000000,0.0,0
2019-03-28 15:03:20,28-03-2019,15:03:20:000000,0.0,0
2019-03-28 15:04:00,28-03-2019,15:04:00:000000,0.0,0
2019-03-28 15:04:40,28-03-2019,15:04:40:000000,0.0,0
2019-03-28 15:05:20,28-03-2019,15:05:20:000000,0.0,0
2019-03-28 15:06:00,28-03-2019,15:06:00:000000,0.0,0
2019-03-28 15:06:40,28-03-2019,15:06:40:000000,0.0,0
2019-03-28 15:07:20,28-03-2019,15:07:20:000000,0.0,0
2019-03-28 15:08:00,28-03-2019,15:08:00:000000,0.0,0
2019-03-28 15:08:40,28-03-2019,15:08:40:000000,0.0,0
2019-03-28 15:09:20,28-03-2019,15:09:20:000000,0.0,0
2019-03-28 15:10:00,28-03-2019,15:10:00:000000,0.0,0
2019-03-28 15:10:40,28-03-2019,15:10:40:000000,0.0,0
2019-03-28 15:11:20,28-03-2019,15:11:20:000000,0.0,0
2019-03-28 15:12:00,28-03-2019,15:12:00:000000,0.0,0
2019-03-28 15:12:40,28-03-2019,15:12:40:000000,0.0,0
2019-03-28 15:13:20,28-03-2019,15:13:20:000000,0.0,0
2019-03-28 15:14:00,28-03-2019,15:14:00:000000,0.0,0
2019-03-28 15:14:40,28-03-2019,15:14:40:000000,0.0,0
2019-03-28 15:15:20,28-03-2019,15:15:20:000000,0.0,0
2019-03-28 15:16:00,28-03-2019,15:16:00:000000,0.0,0
2019-03-28 15:16:40,28-03-2019,15:16:40:000000,0.0,0
2019-03-28 15:17:20,28-03-2019,15:17:20:000000,0.0,0
2019-03-28 15:18:00,28-03-2019,15:18:00:000000,0.0,0
2019-03-28 15:18:40,28-03-2019,15:18:40:000000,0.0,0
2019-03-28 15:19:20,28-03-2019,15:19:20:000000,0.0,0
2019-03-28 15:20:00,28-03-2019,15:20:00:000000,0.0,0
2019-03-28 15:20:40,28-03-2019,15:20:40:000000,0.0,0
2019-03-28 15:21:20,28-03-2019,15:21:20:000000,0.0,0
2019-03-28 15:22:00,28-03-2019,15:22:00:000000,0.0,0
2019-03-28 15:22:40,28-03-2019,15:22:40:000000,0.0,0
2019-03-28 15:23:20,28-03-2019,15:23:20:000000,0.0,0
2019-03-28 15:24:00,28-03-2019,15:24:00:000000,0.0,0
2019-03-28 15:24:40,28-03-2019,15:24:40:000000,0.0,0
2019-03-28 15:25:20,28-03-2019,15:25:20:000000,0.0,0
2019-03-28 15:26:00,28-03-2019,15:26:00:000000,0.0,0
2019-03-28 15:26:40,28-03-2019,15:26:40:000000,0.0,0
2019-03-28 15:27:20,28-03-2019,15:27:20:000000,0.0,0
2019-03-28 15:28:00,28-03-2019,15:28:00:000000,0.0,0
2019-03-28 15:28:40,28-03-2019,15:28:40:000000,0.0,0
2019-03-28 15:29:20,28-03-2019,15:29:20:000000,0.0,0
2019-03-28 15:30:00,28-03-2019,15:30:00:000000,0.0,0
2019-03-28 15:30:40,28-03-2019,15:30:40:000000,0.0,0
